,NO,ITEM,SIZE,PRICE
,1,POLO T - SHIRT,S  Upto 4 Yrs,975
,,,M  Upto 4 Yrs,975
,,,L    5 Yrs - 6 yrs,1150
,,,XL  5 Yrs - 6 yrs,1150
,,,,
,2,SCHOOL SHIRT - Yellow pin stripped, XXS - S,1150
,,,XS,1150
,,,S,1150
,,,M,1250
,,,L,1450
,,,XL,1450
,,,,
,3,PETER PAN BLOUSES,Size 2,1235
,,,Size 4,1235
,,,Size 6,1235
,,,Size 8,1235
,,,Size 10,1235
,,,Size 12,1235
,,,Size 14,1365
,,,Size 16,1365
,,,Size 18,1365
,,,Size 20,1365
,,,Size 22,1365
,,,Size 24,1548
,,,Size 26,1548
,,,Size 28,1548
,,,,
,4,TROUSERS (Half Elastic),Size 2,1500
,,,Size 4,1500
,,,Size 6,1500
,,,Size 8,1500
,,,Size 10,1500
,,,Size 12,1520
,,,Size 14,1520
,,,Size 16,1520
,,,Size 14/38,1550
,,,Size 30/36,1550
,,,Size 26,1550
,,,Size 28,1550
,,,Size 30,1550
,,,,
,5,TROUSERS (Boys/Girls) -None – Elastic,Size 26,1550
,,,Size 28,1550
,,,Size 30,1550
,,,Size 32,1600
,,,Size 34,1600
,,,Size 36,1600
,,,Size 38,1600
,,,Size 40,1600
,,,,
,6,SKORT SKIRTS,Size 22,1050
,,,Size 24,1050
,,,Size 25,1250
,,,Size 26,1250
,,,Size 28,1450
,,,Size 30,1450
,,,Size 32,1550
,,,Size 34,1550
,,,Size 36,1550
,,,,
,7,SWEATERS,Size 24,992
,,,Size 26,1056
,,,Size 28,1120
,,,Size 30,1235
,,,Size 32,1560
,,,Size 34,1560
,,,Size 36,1560
,,,Size 38,1560
,,,Size 40,1600
,,,,
,8,FLEECE JACKETS,Size 2,2274
,,,Size4,2274
,,,Size 6,2274
,,,Size 8,2388
,,,Size 10,2388
,,,Size 12,2692
,,,Size 14,2692
,,,Size L,3156
,,,Size XL,3156
,,,Size SS (Super Small),3986
,,,Size S,3986
,,,Size Adults,3986
,,,Size 20,2274
,,,Size 22,2274
,,,Size 24,2274
,,,Size 26,2388
,,,Size 28,2388
,,,Size 30,2876
,,,Size 34,2876
,,,Size 36,3156
,,,Size 38,3156
,,,,
,9,P. E   SKIRTS,Size 18,1050
,,,Size 20,1050
,,,Size 22,1050
,,,Size 24,1150
,,,Size 26,1150
,,,Size 28,1250
,,,Size 30,1250
,,,Size 32,1250
,,,Size 34,1300
,,,Size 36,1300
,,,Size 38,1300
,,,,
,10,GAMES KITS - SHORTS,18,850
,,,20,850
,,,22,850
,,,24,1050
,,,26,1050
,,,28,1150
,,,30,1150
,,,32,1150
,,,34,1200
,,,36,1200
,,,38,1200
,,,Size XXS,850
,,,Size XS,850
,,,Size S,1050
,,,Size M,1050
,,,Size L,1150
,,,Size XL,1150
,,,Size XXL,1200
,,,Size XXXL,1200
,,,,
,11,P. E  SHORT Navy Blue (Kg) - - (Elastic all round/Pocket),Size 20,600
,,,Size 22,600
,,,Size 24,650
,,,Size 26,650
,,,,
,12,TRACK SUITS,Size XXS,4650
,,,Size XS,4650
,,,Size S,4650
,,,Size M,4850
,,,Size L,4850
,,,Size XL,4850
,,,Size Super Small,4950
,,,Size Small Adults,4950
,,,,
,13,T SHIRTS - Riceknit ,Size 60,640
,,,Size 65,640
,,,Size 70,640
,,,Size 75,640
,,,Size 80,640
,,,Size 85,640
,,,Size 90,640
,,,Size 95,700
,,,Size 100,700
,,,Size 110,700
,,,,
,14,SOCKS (MID-LENGTH),Size S,340
,,,Size M,340
,,,Size L,340
,,,,
,15,SOCKS - KNEE HIGH,Size S,450
,,,Size M,450
,,,Size L,450
,,,Size XL,450
,,,,
,16,STOCKINGS (Full),3 – 4yrs,900
,,,5 – 6yrs,900
,,,7 – 8 yrs,900
,,,8 – 9 yrs,900
,,,10 – 11yrs,900
,,,11 – 12yrs,900
,,,13 – 14yrs,900
,,,15 – 16yrs,900
,,,,
,17,SWIMMING TRUNKS – Boys,Size S,1430
,,,Size M,1430
,,,Size L,1430
,,,Size XL,1430
,,,,
,18,GIRLS SWIM SUIT,Size XS,2000
,,,Size S,2000
,,,Size M,2000
,,,Size:  Large,2667
,,,,
,19,LADIES SWIM SUIT,Size: Extra Large,2750
,,,Size: Extra Extra Large,2900
,,,,
,20,SCHOOL TIE - PRIMARY,Size:  FREE SIZE (Adjustable),700
,,,,
,21,SCHOOL SHORT - PRIMARY & KG - (Half Elastic),Size 20,800
,,,Size 22,800
,,,Size 24,850
,,,Size 26,850
,,,Size 28,900
,,,Size 30,900
,,,,
,22,SHIRTS - Sky Blue – Junior School,Size 10,1300
,,,Size 12,1300
,,,Size 13,1300
,,,Size 14 ,1450
,,,Size 15 ,1500
,,,Size 16 ,1600
,,,Size 17,1650
,,,Size 34,1650
,,,Size 36,1650
,,,Size 38,1650
,,,Size 40,1650
,,,,
,23,BLAZER (With Yellow Ribbon) – Junior School,Size: 22,3767
,,,Size 24,3767
,,,Size 26,3767
,,,Size 28,4092
,,,Size 30,4092
,,,Size 32,4092
,,,Size 34,4510
,,,Size 36,4510
,,,,
,24,CHECKED SKIRTS With pleats – Junior School,Size: 26,1280
,,,Size 28,1280
,,,Size 30,1280
,,,Size 32,1280
,,,,
,25,TROUSERS – BOYS/LADIES – Junior School,Size: 26,1550
,,,Size 28,1550
,,,Size 30,1550
,,,Size 32,1600
,,,Size 34,1600
,,,Size 36,1600
,,,,
,26,JUNIOR HIGH SCHOOL TIE – Junior School,Navy Blue,250
